# CSV file produced by Simufact
# Date of creation: 17.10.2021 13:23:25
#
# 1 (TIME - s);1 (Z displacement - mm);# 10 (TIME - s);10 (Z displacement - mm);# 2 (TIME - s);2 (Z displacement - mm);# 3 (TIME - s);3 (Z displacement - mm);# 4 (TIME - s);4 (Z displacement - mm);# 5 (TIME - s);5 (Z displacement - mm);# 6 (TIME - s);6 (Z displacement - mm);# 7 (TIME - s);7 (Z displacement - mm);# 8 (TIME - s);8 (Z displacement - mm);# 9 (TIME - s);9 (Z displacement - mm)
30808.3511;-0.0100785025;30808.3511;-0.0122490424;30808.3511;-0.0102582516;30808.3511;-0.011570847;30808.3511;-0.0128905632;30808.3511;-0.0129573443;30808.3511;-0.0131847984;30808.3511;-0.0127329187;30808.3511;-0.0113438516;30808.3511;-0.0128701854
31460.9216;-0.0108609468;31460.9216;-0.0133957191;31460.9216;-0.0110279808;31460.9216;-0.0125000229;31460.9216;-0.0142102322;31460.9216;-0.0144392584;31460.9216;-0.0145778278;31460.9216;-0.0139385218;31460.9216;-0.0122986564;31460.9216;-0.0140803619
31460.9218;-0.0110629941;31460.9218;-0.0135131991;31460.9218;-0.0112105645;31460.9218;-0.0126550782;31460.9218;-0.0142996334;31460.9218;-0.0144613508;31460.9218;-0.0146072939;31460.9218;-0.0140541619;31460.9218;-0.0125100784;31460.9218;-0.0142025442
31461.0976;-0.0111576164;31461.0976;-0.0135375854;31461.0976;-0.0113229306;31461.0976;-0.0127629861;31461.0976;-0.0143041023;31461.0976;-0.0143823155;31461.0976;-0.0144396311;31461.0976;-0.0138275676;31461.0976;-0.0124183671;31461.0976;-0.0142532014
31472.5218;-0.00992837445;31472.5218;-0.0123832547;31472.5218;-0.0101478801;31472.5218;-0.011610366;31472.5218;-0.0131661902;31472.5218;-0.0133330705;31472.5218;-0.0134188132;31472.5218;-0.0126976956;31472.5218;-0.0111474754;31472.5218;-0.0130827933
32118.6644;-0.0105850221;32118.6644;-0.0133684432;32118.6644;-0.0107987455;32118.6644;-0.0124064778;32118.6644;-0.014311512;32118.6644;-0.0146253829;32118.6644;-0.0146262551;32118.6644;-0.013725621;32118.6644;-0.0119462951;32118.6644;-0.0141300965
32118.6646;-0.0108127905;32118.6646;-0.0134940407;32118.6646;-0.0109962442;32118.6646;-0.0125542501;32118.6646;-0.0143797449;32118.6646;-0.0146369267;32118.6646;-0.0147003626;32118.6646;-0.013946007;32118.6646;-0.0122486269;32118.6646;-0.0142267147
32118.8404;-0.0108727887;32118.8404;-0.0135280219;32118.8404;-0.0110624261;32118.8404;-0.0126199365;32118.8404;-0.0144116403;32118.8404;-0.0146366817;32118.8404;-0.0146528028;32118.8404;-0.0138626103;32118.8404;-0.012221294;32118.8404;-0.0142758991
32130.2646;-0.00992701065;32130.2646;-0.0126611025;32130.2646;-0.0102001378;32130.2646;-0.0118217802;32130.2646;-0.0136059869;32130.2646;-0.0138684451;32130.2646;-0.01381058;32130.2646;-0.0128155324;32130.2646;-0.0110920528;32130.2646;-0.0134647399
32765.7142;-0.010226267;32765.7142;-0.013281409;32765.7142;-0.0104979797;32765.7142;-0.0122628468;32765.7142;-0.0143849471;32765.7142;-0.0147919182;32765.7142;-0.0146469059;32765.7142;-0.0134660784;32765.7142;-0.0115168966;32765.7142;-0.014148436
32765.7145;-0.0105539059;32765.7145;-0.0134958201;32765.7145;-0.0107820832;32765.7145;-0.0124772833;32765.7145;-0.0145152768;32765.7145;-0.0148734438;32765.7145;-0.0148176662;32765.7145;-0.0138146381;32765.7145;-0.0119499421;32765.7145;-0.0143023319
32765.8902;-0.0105231899;32765.8902;-0.013452136;32765.8902;-0.0107552087;32765.8902;-0.0124504344;32765.8902;-0.0144737308;32765.8902;-0.014819061;32765.8902;-0.0147457765;32765.8902;-0.0137289858;32765.8902;-0.0118838506;32765.8902;-0.0142682208
32777.3145;-0.00947734037;32777.3145;-0.0124838122;32777.3145;-0.00980909551;32777.3145;-0.0115947554;32777.3145;-0.0135994372;32777.3145;-0.0139482312;32777.3145;-0.0137475048;32777.3145;-0.0124839895;32777.3145;-0.0105881034;32777.3145;-0.0134059815
33396.9116;-0.00975859304;33396.9116;-0.0130739738;33396.9116;-0.0100973767;33396.9116;-0.0120264036;33396.9116;-0.0143488654;33396.9116;-0.0148327714;33396.9116;-0.0145385911;33396.9116;-0.0130809173;33396.9116;-0.0109686509;33396.9116;-0.0140671654
33396.9119;-0.0101766336;33396.9119;-0.0133790943;33396.9119;-0.010462386;33396.9119;-0.0123095157;33396.9119;-0.0145543283;33396.9119;-0.0150018688;33396.9119;-0.0148113865;33396.9119;-0.0135431623;33396.9119;-0.0115102901;33396.9119;-0.0142889557
33397.0876;-0.0101328194;33397.0876;-0.0133273839;33397.0876;-0.0104188516;33397.0876;-0.012264775;33397.0876;-0.0145038974;33397.0876;-0.0149465477;33397.0876;-0.0147518057;33397.0876;-0.0134823013;33397.0876;-0.0114562582;33397.0876;-0.0142414228
33408.5119;-0.0091571959;33408.5119;-0.0124221788;33408.5119;-0.00955342153;33408.5119;-0.0115063696;33408.5119;-0.0137117547;33408.5119;-0.0141291055;33408.5119;-0.0137827982;33408.5119;-0.0122589499;33408.5119;-0.0102054425;33408.5119;-0.0134763094
34011.1107;-0.00926166844;34011.1107;-0.0128247002;34011.1107;-0.0096728507;34011.1107;-0.0117694593;34011.1107;-0.0142747842;34011.1107;-0.0148192896;34011.1107;-0.0143723783;34011.1107;-0.0126440158;34011.1107;-0.0103822082;34011.1107;-0.0139572591
34011.1109;-0.00971800234;34011.1109;-0.0131803934;34011.1109;-0.0100706001;34011.1109;-0.0120813048;34011.1109;-0.0145260335;34011.1109;-0.0150511113;34011.1109;-0.0147134893;34011.1109;-0.0131702906;34011.1109;-0.0109734694;34011.1109;-0.014215237
