# CSV file produced by Simufact
# Date of creation: 05.10.2021 14:34:50
#
# 1 (TIME - s);1 (Equivalent stress - MPa);# 2 (TIME - s);2 (Equivalent stress - MPa);# 3 (TIME - s);3 (Equivalent stress - MPa);# 4 (TIME - s);4 (Equivalent stress - MPa);# 5 (TIME - s);5 (Equivalent stress - MPa);# 6 (TIME - s);6 (Equivalent stress - MPa);# 7 (TIME - s);7 (Equivalent stress - MPa);# 8 (TIME - s);8 (Equivalent stress - MPa);# 9 (TIME - s);9 (Equivalent stress - MPa)
26841.8815;524.893474;26841.8815;524.38703;26841.8815;527.631403;26841.8815;549.869164;26841.8815;564.825967;26841.8815;567.256559;26841.8815;535.493868;26841.8815;522.329177;26841.8815;532.571777
26853.3058;533.96059;26853.3058;532.570397;26853.3058;534.414199;26853.3058;555.153119;26853.3058;569.132085;26853.3058;571.436673;26853.3058;541.497341;26853.3058;530.829805;26853.3058;539.066868
27216.6204;525.080028;27216.6204;524.857168;27216.6204;528.511332;27216.6204;551.336018;27216.6204;566.713616;27216.6204;569.158357;27216.6204;536.61184;27216.6204;522.653918;27216.6204;533.548935
27216.6204;523.943001;27216.6204;523.79291;27216.6204;527.551155;27216.6204;550.484635;27216.6204;565.874748;27216.6204;568.312975;27216.6204;535.732245;27216.6204;521.571728;27216.6204;532.616012
27216.7961;524.511919;27216.7961;524.326206;27216.7961;528.02567;27216.7961;550.911861;27216.7961;566.263816;27216.7961;568.693255;27216.7961;536.178888;27216.7961;522.113716;27216.7961;533.080309
27228.2204;533.105376;27228.2204;532.089153;27228.2204;534.466849;27228.2204;555.987339;27228.2204;570.443904;27228.2204;572.747759;27228.2204;541.922046;27228.2204;530.181794;27228.2204;539.264677
27589.7221;526.092862;27589.7221;526.115934;27589.7221;530.135464;27589.7221;553.562249;27589.7221;569.312454;27589.7221;571.763566;27589.7221;538.517521;27589.7221;523.798588;27589.7221;535.290806
27589.7221;524.997622;27589.7221;525.087907;27589.7221;529.208248;27589.7221;552.728706;27589.7221;568.488356;27589.7221;570.939123;27589.7221;537.662937;27589.7221;522.754892;27589.7221;534.389782
27589.8979;525.271955;27589.8979;525.347067;27589.8979;529.44294;27589.8979;552.943696;27589.8979;568.687885;27589.8979;571.135874;27589.8979;537.888114;27589.8979;523.018796;27589.8979;534.621483
27601.3221;533.263625;27601.3221;532.567204;27601.3221;535.428274;27601.3221;557.682344;27601.3221;572.599683;27601.3221;574.920483;27601.3221;543.234761;27601.3221;530.520896;27601.3221;540.372438
27960.9518;527.028115;27960.9518;527.292286;27960.9518;531.671095;27960.9518;555.69809;27960.9518;571.804576;27960.9518;574.258718;27960.9518;540.340805;27960.9518;524.865529;27960.9518;536.947911
27960.9518;525.858189;27960.9518;526.18898;27960.9518;530.671748;27960.9518;554.788854;27960.9518;570.906472;27960.9518;573.365118;27960.9518;539.419453;27960.9518;523.751155;27960.9518;535.978598
27961.1276;526.022025;27961.1276;526.347891;27961.1276;530.820828;27961.1276;554.925721;27961.1276;571.035033;27961.1276;573.49192;27961.1276;539.556906;27961.1276;523.907613;27961.1276;536.122401
27972.5518;533.156469;27972.5518;532.792058;27972.5518;536.15899;27972.5518;559.177989;27972.5518;574.556671;27972.5518;576.895927;27972.5518;544.356502;27972.5518;530.614354;27972.5518;541.26472
28330.1295;527.948138;28330.1295;528.441466;28330.1295;533.166245;28330.1295;557.779586;28330.1295;574.231306;28330.1295;576.689177;28330.1295;542.136115;28330.1295;525.923056;28330.1295;538.571029
28330.1296;528.937262;28330.1296;529.437663;28330.1296;534.260394;28330.1296;558.864687;28330.1296;575.376837;28330.1296;577.932042;28330.1296;543.160002;28330.1296;526.876329;28330.1296;539.653026
28330.3053;529.268896;28330.3053;529.749435;28330.3053;534.548411;28330.3053;559.123994;28330.3053;575.621662;28330.3053;578.182467;28330.3053;543.434525;28330.3053;527.19516;28330.3053;539.939596
28341.7296;535.477521;28341.7296;535.360437;28341.7296;539.192399;28341.7296;562.834948;28341.7296;578.694893;28341.7296;581.142929;28341.7296;547.614859;28341.7296;533.032023;28341.7296;544.412737
28697.2656;530.686383;28697.2656;531.345607;28697.2656;536.398718;28697.2656;561.477448;28697.2656;578.296914;28697.2656;580.842867;28697.2656;545.526431;28697.2656;528.715081;28697.2656;541.889752
28697.2656;529.541308;28697.2656;530.261758;28697.2656;535.403184;28697.2656;560.545107;28697.2656;577.361045;28697.2656;579.906344;28697.2656;544.579824;28697.2656;527.612574;28697.2656;540.91002
28697.4413;529.554976;28697.4413;530.280884;28697.4413;535.429442;28697.4413;560.570037;28697.4413;577.387752;28697.4413;579.934298;28697.4413;544.599404;28697.4413;527.625492;28697.4413;540.932468
28708.8656;535.104645;28708.8656;535.298323;28708.8656;539.590831;28708.8656;563.920439;28708.8656;580.181888;28708.8656;582.630911;28708.8656;548.367875;28708.8656;532.850524;28708.8656;544.95297
29062.6247;531.441195;29062.6247;532.327134;29062.6247;537.718833;29062.6247;563.35905;29062.6247;580.501629;29062.6247;583.045867;29062.6247;547.131707;29062.6247;529.605627;29062.6247;543.327493
29062.6247;530.269388;29062.6247;531.213558;29062.6247;536.686507;29062.6247;562.385929;29062.6247;579.522479;29062.6247;582.063383;29062.6247;546.150309;29062.6247;528.477068;29062.6247;542.311152
29062.8005;530.301503;29062.8005;531.248201;29062.8005;536.728231;29062.8005;562.425903;29062.8005;579.563778;29062.8005;582.109279;29062.8005;546.188623;29062.8005;528.508916;29062.8005;542.352244
29074.2247;535.214564;29074.2247;535.6938;29074.2247;540.417512;29074.2247;565.402858;29074.2247;582.052523;29074.2247;584.508252;29074.2247;549.525325;29074.2247;533.131483;29074.2247;545.914665
29426.2867;532.087914;29426.2867;533.202978;29426.2867;538.944753;29426.2867;565.1636;29426.2867;582.634177;29426.2867;585.17975;29426.2867;548.6655;29426.2867;530.398319;29426.2867;544.684628
29426.2867;530.837602;29426.2867;532.01773;29426.2867;537.843001;29426.2867;564.120142;29426.2867;581.580543;29426.2867;584.11758;29426.2867;547.606303;29426.2867;529.189634;29426.2867;543.590813
29426.4625;530.86088;29426.4625;532.042028;29426.4625;537.872941;29426.4625;564.147639;29426.4625;581.609723;29426.4625;584.152171;29426.4625;547.636187;29426.4625;529.21385;29426.4625;543.622153
29437.8867;534.935096;29437.8867;535.73215;29437.8867;540.938281;29437.8867;566.634099;29437.8867;583.694991;29437.8867;586.159694;29437.8867;550.417522;29437.8867;533.051341;29437.8867;546.584109
29788.2053;532.612004;29788.2053;533.964542;29788.2053;540.057799;29788.2053;566.835053;29788.2053;584.619856;29788.2053;587.160854;29788.2053;550.061682;29788.2053;531.06467;29788.2053;545.910579
29788.2053;531.507735;29788.2053;532.907844;29788.2053;539.066063;29788.2053;565.892144;29788.2053;583.661443;29788.2053;586.197364;29788.2053;549.122615;29788.2053;530.000955;29788.2053;544.935939
29788.3811;531.510861;29788.3811;532.913374;29788.3811;539.077624;29788.3811;565.900181;29788.3811;583.67057;29788.3811;586.210622;29788.3811;549.130399;29788.3811;530.004096;29788.3811;544.946459
29799.8053;538.165441;29799.8053;539.143388;29799.8053;544.745985;29799.8053;570.973747;29799.8053;588.477269;29799.8053;591.071989;29799.8053;554.397609;29799.8053;536.339013;29799.8053;550.492959
