# CSV file produced by Simufact
# Date of creation: 05.10.2021 14:28:52
#
# 1 (TIME - s);1 (X displacement - mm);# 2 (TIME - s);2 (X displacement - mm);# 3 (TIME - s);3 (X displacement - mm);# 4 (TIME - s);4 (X displacement - mm);# 5 (TIME - s);5 (X displacement - mm);# 6 (TIME - s);6 (X displacement - mm);# 7 (TIME - s);7 (X displacement - mm);# 8 (TIME - s);8 (X displacement - mm)
23973.9028;0.000227080506;23973.9028;-0.000224842282;23973.9028;-0.000952297258;23973.9028;-0.00151634807;23973.9028;-0.00154878756;23973.9028;-0.000915404513;23973.9028;-0.000225209311;23973.9028;-0.000827435217
23974.0786;0.000356704053;23974.0786;-0.00045420674;23974.0786;-0.00168947;23974.0786;-0.00234862055;23974.0786;-0.00224033181;23974.0786;-0.00119651913;23974.0786;-8.01134272e-05;23974.0786;-0.00116223529
23985.5028;0.00144933777;23985.5028;0.000910232316;23985.5028;0.000261306182;23985.5028;8.51203628e-05;23985.5028;0.000323633427;23985.5028;0.000867970308;23985.5028;0.00138868478;23985.5028;0.000740079719
24939.9451;0.00146872953;24939.9451;0.00155127721;24939.9451;0.0017279347;24939.9451;0.00206723598;24939.9451;0.00209163604;24939.9451;0.00193889807;24939.9451;0.00178653082;24939.9451;0.00190891839
24939.9451;0.00146199106;24939.9451;0.00154303486;24939.9451;0.00166859426;24939.9451;0.00197364606;24939.9451;0.0019941836;24939.9451;0.0018624763;24939.9451;0.00173865346;24939.9451;0.00184642677
24940.1209;0.00138858711;24940.1209;0.00145345819;24940.1209;0.00151441657;24940.1209;0.00178185108;24940.1209;0.00181001647;24940.1209;0.00171027931;24940.1209;0.0016228985;24940.1209;0.00170055408
24951.5451;0.00152992231;24951.5451;0.00146619788;24951.5451;0.00134991185;24951.5451;0.00151025214;24951.5451;0.00158770789;24951.5451;0.00162792605;24951.5451;0.00167696967;24951.5451;0.00160067352
25324.626;0.0038227695;25324.626;0.00368776938;25324.626;0.00360713477;25324.626;0.00378783278;25324.626;0.00388540573;25324.626;0.00396475875;25324.626;0.00403302745;25324.626;0.0038956991
25324.626;0.00379654707;25324.626;0.00366850005;25324.626;0.00357684914;25324.626;0.00374551726;25324.626;0.00383342857;25324.626;0.00391580988;25324.626;0.0039919743;25324.626;0.00385704774
25324.8018;0.00371471219;25324.8018;0.00357330343;25324.8018;0.00342962783;25324.8018;0.00356753854;25324.8018;0.00366119804;25324.8018;0.00376963794;25324.8018;0.00387560604;25324.8018;0.00371615469
25336.226;0.00382257868;25336.226;0.00353436358;25336.226;0.00317423449;25336.226;0.00318663325;25336.226;0.00333586733;25336.226;0.00361156753;25336.226;0.00387584983;25336.226;0.00353930461
25706.6994;0.00422555769;25706.6994;0.00406960115;25706.6994;0.0039753885;25706.6994;0.00414410444;25706.6994;0.00423522573;25706.6994;0.0043400186;25706.6994;0.00442946474;25706.6994;0.00427252663
25706.6995;0.00413874787;25706.6995;0.0039944085;25706.6995;0.00390604067;25706.6995;0.00407250958;25706.6995;0.00415146716;25706.6995;0.00425032233;25706.6995;0.00433810642;25706.6995;0.00419222767
25706.8752;0.00410227165;25706.8752;0.00394769923;25706.8752;0.00382645184;25706.8752;0.0039729174;25706.8752;0.00405500476;25706.8752;0.004171551;25706.8752;0.00427959759;25706.8752;0.00411702788
25718.2995;0.00421723652;25718.2995;0.00400017995;25718.2995;0.00374567526;25718.2995;0.00381939859;25718.2995;0.00393487093;25718.2995;0.00412985761;25718.2995;0.0043186936;25718.2995;0.00407264286
26086.8932;0.00429459965;26086.8932;0.00419330346;26086.8932;0.0041793342;26086.8932;0.00439771885;26086.8932;0.00446807421;26086.8932;0.00450963974;26086.8932;0.00453794965;26086.8932;0.00445023943
26086.8932;0.00421873056;26086.8932;0.00413026017;26086.8932;0.00412864278;26086.8932;0.00434935809;26086.8932;0.00440813267;26086.8932;0.00444049726;26086.8932;0.00446284453;26086.8932;0.00438877084
26087.0689;0.00413483687;26087.0689;0.00404056556;26087.0689;0.00402010175;26087.0689;0.00422827466;26087.0689;0.00428754452;26087.0689;0.00433069597;26087.0689;0.00436563103;26087.0689;0.00428177324
26098.4932;0.00424840911;26098.4932;0.00409704386;26098.4932;0.00394137301;26098.4932;0.00407434385;26098.4932;0.00416272812;26098.4932;0.00428228165;26098.4932;0.00439831752;26098.4932;0.00423526028
26465.1892;0.0042999989;26465.1892;0.00425487293;26465.1892;0.00431992132;26465.1892;0.00458671865;26465.1892;0.00463505815;26465.1892;0.00461311168;26465.1892;0.00458075105;26465.1892;0.00456331055
26465.1892;0.00419020048;26465.1892;0.00415916704;26465.1892;0.00424087909;26465.1892;0.00451287595;26465.1892;0.00454960279;26465.1892;0.00451608067;26465.1892;0.00447489105;26465.1892;0.00447320357
26465.365;0.00417454235;26465.365;0.00413932008;26465.365;0.0042098022;26465.365;0.00447392726;26465.365;0.00451082215;26465.365;0.00448450169;26465.365;0.00445147003;26465.365;0.00444313958
26476.7892;0.00419460329;26476.7892;0.00410719324;26476.7892;0.00404678362;26476.7892;0.00423654015;26476.7892;0.00429823438;26476.7892;0.00434483577;26476.7892;0.00439068883;26476.7892;0.004308194
26841.7058;0.00422935908;26841.7058;0.00423591526;26841.7058;0.00437235714;26841.7058;0.00468239379;26841.7058;0.00470979079;26841.7058;0.00462997107;26841.7058;0.00454284843;26841.7058;0.00458990253
26841.7058;0.00414367841;26841.7058;0.00416519467;26841.7058;0.00432116803;26841.7058;0.00463855228;26841.7058;0.00465456645;26841.7058;0.00456139794;26841.7058;0.00446330847;26841.7058;0.00452763935
26841.8815;0.00404581999;26841.8815;0.00401846546;26841.8815;0.00410007074;26841.8815;0.00437074157;26841.8815;0.00440478746;26841.8815;0.00436975933;26841.8815;0.00432789439;26841.8815;0.00432856793
26853.3058;0.0040338448;26853.3058;0.00396109823;26853.3058;0.00392132577;26853.3058;0.00412179987;26853.3058;0.00417565355;26853.3058;0.00420697677;26853.3058;0.00423845922;26853.3058;0.00417305505
