# CSV file produced by Simufact
# Date of creation: 17.10.2021 13:29:32
#
# 1 (TIME - s);1 (X displacement - mm);# 10 (TIME - s);10 (X displacement - mm);# 2 (TIME - s);2 (X displacement - mm);# 3 (TIME - s);3 (X displacement - mm);# 4 (TIME - s);4 (X displacement - mm);# 5 (TIME - s);5 (X displacement - mm);# 6 (TIME - s);6 (X displacement - mm);# 7 (TIME - s);7 (X displacement - mm);# 8 (TIME - s);8 (X displacement - mm);# 9 (TIME - s);9 (X displacement - mm)
18283.8076;0.000187254255;18283.8076;0.000108742974;18283.8076;-4.97618414e-05;18283.8076;-0.000128076821;18283.8076;4.40722829e-05;18283.8076;0.000305894481;18283.8076;0.000136013114;18283.8076;0.000139493126;18283.8076;0.000186483134;18283.8076;0.000142386478
18283.9834;0.000193347968;18283.9834;9.09881968e-05;18283.9834;-0.000120663129;18283.9834;-0.000209786384;18283.9834;1.40522753e-05;18283.9834;0.00028668891;18283.9834;0.000153718372;18283.9834;0.000220246099;18283.9834;0.000296381016;18283.9834;0.000190090038
18295.4076;0.000667157047;18295.4076;0.000547923158;18295.4076;0.00025260855;18295.4076;0.000241781603;18295.4076;0.000551519771;18295.4076;0.00077078318;18295.4076;0.000394346764;18295.4076;0.000496958962;18295.4076;0.000773594763;18295.4076;0.000543722883
22215.35;-0.000310195535;22215.35;-0.000379660581;22215.35;-0.000562200717;22215.35;-0.000428301873;22215.35;-0.000225620736;22215.35;-0.000219159767;22215.35;-0.000862799406;22215.35;-0.000835460977;22215.35;-0.000450767878;22215.35;-0.000662208337
22215.3503;-9.71085422e-05;22215.3503;-0.000190106174;22215.3503;-0.000409589767;22215.3503;-0.000412123109;22215.3503;-0.000173038565;22215.3503;3.66160978e-05;22215.3503;-0.000401442702;22215.3503;-0.000374199686;22215.3503;-0.000152486366;22215.3503;-0.0002967691
22215.526;-0.000113347828;22215.526;-0.000212614183;22215.526;-0.00042947885;22215.526;-0.000417403026;22215.526;-0.000181976662;22215.526;-3.12185432e-05;22215.526;-0.000417615152;22215.526;-0.000345894608;22215.526;-0.000103758091;22215.526;-0.000286224207
22226.9503;0.000183132376;22226.9503;0.000127104379;22226.9503;-2.09661758e-05;22226.9503;0.000197186637;22226.9503;0.000370586728;22226.9503;0.000221172078;22226.9503;-0.000524220305;22226.9503;-0.000469657355;22226.9503;6.0978728e-07;22226.9503;-0.000256363367
26146.5434;-0.000521984546;26146.5434;-0.000527159962;26146.5434;-0.000559841486;26146.5434;-0.00019452286;26146.5434;-0.000130714166;26146.5434;-0.00049738145;26146.5434;-0.00151378642;26146.5434;-0.00153667391;26146.5434;-0.000956165042;26146.5434;-0.00119355035
26146.5437;-0.000360639269;26146.5437;-0.000416591767;26146.5437;-0.000491201095;26146.5437;-0.000290738727;26146.5437;-0.000173303055;26146.5437;-0.000320140589;26146.5437;-0.00105731054;26146.5437;-0.00104300561;26146.5437;-0.000638762724;26146.5437;-0.000828192411
26146.7194;-0.000321707761;26146.7194;-0.000381879562;26146.7194;-0.000493482949;26146.7194;-0.000312148057;26146.7194;-0.000163062602;26146.7194;-0.000284364695;26146.7194;-0.000958806307;26146.7194;-0.000916015979;26146.7194;-0.000521388185;26146.7194;-0.00072917213
26158.1437;-9.60893664e-05;26158.1437;-8.23823038e-05;26158.1437;-2.10428784e-05;26158.1437;0.000424604618;26158.1437;0.000414416642;26158.1437;-0.000130661195;26158.1437;-0.00123659713;26158.1437;-0.00126981823;26158.1437;-0.000645715348;26158.1437;-0.000876960901
30076.6583;-0.000702306972;30076.6583;-0.000636473592;30076.6583;-0.000449614786;30076.6583;0.000149610467;30076.6583;2.03539797e-05;30076.6583;-0.000752244485;30076.6583;-0.00214036072;30076.6583;-0.00225766412;30076.6583;-0.00151981793;30076.6583;-0.00172997032
30076.6586;-0.000635107707;30076.6586;-0.000583108115;30076.6586;-0.000436520935;30076.6586;0.000108664704;30076.6586;1.52365623e-05;30076.6586;-0.000668752571;30076.6586;-0.00196302231;30076.6586;-0.00206519806;30076.6586;-0.00137579387;30076.6586;-0.00158131263
30076.8343;-0.000601569592;30076.8343;-0.000544947317;30076.8343;-0.000409834122;30076.8343;0.000114031743;30076.8343;1.53043382e-05;30076.8343;-0.000598721745;30076.8343;-0.00184573757;30076.8343;-0.00198638963;30076.8343;-0.00133028462;30076.8343;-0.00151640631
30088.2586;-0.000593254658;30088.2586;-0.000512583757;30088.2586;-0.000306954963;30088.2586;0.000322315138;30088.2586;0.000159853779;30088.2586;-0.000633040126;30088.2586;-0.00204376512;30088.2586;-0.00220267949;30088.2586;-0.00144796495;30088.2586;-0.00165415231
30796.7508;-0.000319709495;30796.7508;-0.000217154454;30796.7508;4.30196363e-05;30796.7508;0.000738956512;30796.7508;0.000526740442;30796.7508;-0.000367399702;30796.7508;-0.00190338229;30796.7508;-0.00209346178;30796.7508;-0.00128735664;30796.7508;-0.00148693371
30796.7511;-0.000278715402;30796.7511;-0.000201485736;30796.7511;6.5261056e-06;30796.7511;0.000628732145;30796.7511;0.000473365187;30796.7511;-0.00032224141;30796.7511;-0.00174347885;30796.7511;-0.00188846183;30796.7511;-0.00113940406;30796.7511;-0.0013409674
30796.9268;-0.000277048711;30796.9268;-0.000200803754;30796.9268;4.74661174e-06;30796.9268;0.000619611508;30796.9268;0.00045710906;30796.9268;-0.000311451018;30796.9268;-0.00171055399;30796.9268;-0.00187405683;30796.9268;-0.00113277877;30796.9268;-0.00133104026
30808.3511;-0.000303310522;30808.3511;-0.000231951616;30808.3511;3.58086778e-05;30808.3511;0.000677160099;30808.3511;0.000401874137;30808.3511;-0.000328961962;30808.3511;-0.00169592753;30808.3511;-0.00208252219;30808.3511;-0.00120927163;30808.3511;-0.00145008745
31460.9216;-0.000344692306;31460.9216;-0.000242424667;31460.9216;9.78689951e-05;31460.9216;0.000827028904;31460.9216;0.000485873797;31460.9216;-0.000379999162;31460.9216;-0.00190853669;31460.9216;-0.00233703699;31460.9216;-0.00140089075;31460.9216;-0.00162912176
31460.9218;-0.000304659113;31460.9218;-0.000218586096;31460.9218;7.5470509e-05;31460.9218;0.000749055927;31460.9218;0.00045720054;31460.9218;-0.000334985894;31460.9218;-0.00178130071;31460.9218;-0.00217025469;31460.9218;-0.00127361563;31460.9218;-0.00150599549
31461.0976;-0.000300677585;31461.0976;-0.000220544534;31461.0976;6.22935298e-05;31461.0976;0.000720774286;31461.0976;0.000434669792;31461.0976;-0.000328414391;31461.0976;-0.00174140336;31461.0976;-0.00213272456;31461.0976;-0.00124616059;31461.0976;-0.00148061614
31472.5218;-0.000274881574;31472.5218;-0.000179350992;31472.5218;0.000152366915;31472.5218;0.000867979481;31472.5218;0.000528068612;31472.5218;-0.000310996214;31472.5218;-0.00179616129;31472.5218;-0.00222889734;31472.5218;-0.00130535644;31472.5218;-0.00153572482
32118.6644;-0.000369332739;32118.6644;-0.00024487283;32118.6644;0.000155161287;32118.6644;0.000953941401;32118.6644;0.000552135109;32118.6644;-0.00041525951;32118.6644;-0.00205329128;32118.6644;-0.00252476318;32118.6644;-0.00154097643;32118.6644;-0.00176028714
32118.6646;-0.000335883858;32118.6646;-0.000223237833;32118.6646;0.000145028779;32118.6646;0.000904524208;32118.6646;0.000537481818;32118.6646;-0.000377323918;32118.6646;-0.00195818854;32118.6646;-0.0024018543;32118.6646;-0.00144643835;32118.6646;-0.00166843719
32118.8404;-0.00032952784;32118.8404;-0.000223597116;32118.8404;0.000127972237;32118.8404;0.000867740332;32118.8404;0.000514692148;32118.8404;-0.000368820565;32118.8404;-0.00191357831;32118.8404;-0.00234989254;32118.8404;-0.00140755827;32118.8404;-0.00163242434
32130.2646;-0.000317529709;32130.2646;-0.000202116396;32130.2646;0.000180440681;32130.2646;0.00095425502;32130.2646;0.00056317444;32130.2646;-0.000363902338;32130.2646;-0.00194434403;32130.2646;-0.00241158672;32130.2646;-0.0014484943;32130.2646;-0.00166944933
32765.7142;-0.000403713304;32765.7142;-0.000259266102;32765.7142;0.000189535198;32765.7142;0.00104518715;32765.7142;0.00059418008;32765.7142;-0.000458374697;32765.7142;-0.0021881481;32765.7142;-0.0026933622;32765.7142;-0.00167202148;32765.7142;-0.00188178875
32765.7145;-0.00035851093;32765.7145;-0.000222888774;32765.7145;0.000204891424;32765.7145;0.00103367388;32765.7145;0.000606485183;32765.7145;-0.000410342818;32765.7145;-0.00210131817;32765.7145;-0.00258699794;32765.7145;-0.00158501739;32765.7145;-0.0017969801
32765.8902;-0.000360045302;32765.8902;-0.000230191228;32765.8902;0.000181995524;32765.8902;0.000992781941;32765.8902;0.000579484505;32765.8902;-0.000408942906;32765.8902;-0.00206819266;32765.8902;-0.0025460386;32765.8902;-0.0015564984;32765.8902;-0.00177077211
32777.3145;-0.00035297883;32777.3145;-0.000218872276;32777.3145;0.000206725162;32777.3145;0.00103134108;32777.3145;0.000598092086;32777.3145;-0.000404557748;32777.3145;-0.00207034139;32777.3145;-0.00256683882;32777.3145;-0.00157081162;32777.3145;-0.00178237765
33396.9116;-0.00041754589;33396.9116;-0.0002556548;33396.9116;0.000234771734;33396.9116;0.00113892092;33396.9116;0.000647055385;33396.9116;-0.00047823776;33396.9116;-0.00228876846;33396.9116;-0.00282167229;33396.9116;-0.00176873989;33396.9116;-0.00196982818
33396.9119;-0.000400059026;33396.9119;-0.000244672095;33396.9119;0.000231695094;33396.9119;0.00111757843;33396.9119;0.000641740415;33396.9119;-0.000459061131;33396.9119;-0.00224239135;33396.9119;-0.00276221749;33396.9119;-0.00172236451;33396.9119;-0.0019253566
33397.0876;-0.000372009362;33397.0876;-0.00022336362;33397.0876;0.000240730643;33397.0876;0.00110983006;33397.0876;0.000645039605;33397.0876;-0.000431576599;33397.0876;-0.00218620743;33397.0876;-0.00269778536;33397.0876;-0.00166843187;33397.0876;-0.00187410964
