# CSV file produced by Simufact
# Date of creation: 05.10.2021 14:39:11
#
# 1 (TIME - s);1 (Temperature - ¢XC);# 2 (TIME - s);2 (Temperature - ¢XC);# 3 (TIME - s);3 (Temperature - ¢XC);# 4 (TIME - s);4 (Temperature - ¢XC);# 5 (TIME - s);5 (Temperature - ¢XC);# 6 (TIME - s);6 (Temperature - ¢XC);# 7 (TIME - s);7 (Temperature - ¢XC);# 8 (TIME - s);8 (Temperature - ¢XC);# 9 (TIME - s);9 (Temperature - ¢XC)
26841.8815;208.728806;26841.8815;208.743875;26841.8815;208.708284;26841.8815;208.67443;26841.8815;208.681642;26841.8815;208.69263;26841.8815;208.710826;26841.8815;208.714138;26841.8815;208.730516
26853.3058;208.729832;26853.3058;208.90186;26853.3058;209.327865;26853.3058;209.542597;26853.3058;209.237131;26853.3058;209.011648;26853.3058;208.861617;26853.3058;209.115267;26853.3058;209.194697
27216.6204;208.601906;27216.6204;208.621359;27216.6204;208.595791;27216.6204;208.566807;27216.6204;208.567008;27216.6204;208.572641;27216.6204;208.58717;27216.6204;208.596649;27216.6204;208.615008
27216.6204;208.601905;27216.6204;208.621358;27216.6204;208.59579;27216.6204;208.566805;27216.6204;208.567006;27216.6204;208.572639;27216.6204;208.587169;27216.6204;208.596647;27216.6204;208.615006
27216.7961;208.585575;27216.7961;208.604531;27216.7961;208.578039;27216.7961;208.548656;27216.7961;208.549558;27216.7961;208.55571;27216.7961;208.57056;27216.7961;208.579393;27216.7961;208.597499
27228.2204;208.415436;27228.2204;208.561382;27228.2204;208.91823;27228.2204;209.097504;27228.2204;208.838677;27228.2204;208.649019;27228.2204;208.524371;27228.2204;208.738622;27228.2204;208.807417
27589.7221;208.435656;27589.7221;208.45942;27589.7221;208.444339;27589.7221;208.420605;27589.7221;208.413559;27589.7221;208.413646;27589.7221;208.424335;27589.7221;208.440064;27589.7221;208.460285
27589.7221;208.435655;27589.7221;208.459419;27589.7221;208.444337;27589.7221;208.420604;27589.7221;208.413557;27589.7221;208.413645;27589.7221;208.424333;27589.7221;208.440062;27589.7221;208.460283
27589.8979;208.420291;27589.8979;208.443587;27589.8979;208.427634;27589.8979;208.403524;27589.8979;208.397139;27589.8979;208.397715;27589.8979;208.408707;27589.8979;208.423827;27589.8979;208.443809
27601.3221;208.113322;27601.3221;208.235956;27601.3221;208.529194;27601.3221;208.675394;27601.3221;208.459543;27601.3221;208.302727;27601.3221;208.201364;27601.3221;208.379872;27601.3221;208.439183
27960.9518;208.290014;27960.9518;208.31874;27960.9518;208.314745;27960.9518;208.296342;27960.9518;208.281373;27960.9518;208.275493;27960.9518;208.282201;27960.9518;208.304872;27960.9518;208.327391
27960.9518;208.290012;27960.9518;208.318739;27960.9518;208.314743;27960.9518;208.29634;27960.9518;208.281372;27960.9518;208.275492;27960.9518;208.2822;27960.9518;208.304871;27960.9518;208.32739
27961.1276;208.27557;27961.1276;208.303855;27961.1276;208.29904;27961.1276;208.280283;27961.1276;208.265938;27961.1276;208.260518;27961.1276;208.26751;27961.1276;208.289608;27961.1276;208.311901
27972.5518;207.895349;27972.5518;208.003931;27972.5518;208.256287;27972.5518;208.380721;27972.5518;208.192207;27972.5518;208.056272;27972.5518;207.969929;27972.5518;208.126212;27972.5518;208.17995
28330.1295;208.201808;28330.1295;208.233772;28330.1295;208.237806;28330.1295;208.223453;28330.1295;208.20306;28330.1295;208.192967;28330.1295;208.196673;28330.1295;208.224051;28330.1295;208.247932
28330.1296;208.201807;28330.1296;208.23377;28330.1296;208.237805;28330.1296;208.223451;28330.1296;208.203059;28330.1296;208.192966;28330.1296;208.196671;28330.1296;208.22405;28330.1296;208.24793
28330.3053;208.188077;28330.3053;208.219619;28330.3053;208.222869;28330.3053;208.208177;28330.3053;208.18838;28330.3053;208.178727;28330.3053;208.182705;28330.3053;208.209535;28330.3053;208.233201
28341.7296;207.730111;28341.7296;207.823322;28341.7296;208.032187;28341.7296;208.133602;28341.7296;207.974729;28341.7296;207.861189;28341.7296;207.790622;28341.7296;207.922844;28341.7296;207.970271
28697.2656;208.09003;28697.2656;208.125526;28697.2656;208.138079;28697.2656;208.127974;28697.2656;208.101684;28697.2656;208.087079;28697.2656;208.087666;28697.2656;208.120144;28697.2656;208.14556
28697.2656;208.090028;28697.2656;208.125524;28697.2656;208.138078;28697.2656;208.127972;28697.2656;208.101683;28697.2656;208.087078;28697.2656;208.087664;28697.2656;208.120143;28697.2656;208.145559
